ID,DOI,Title,Date,Keywords,Abstract,Language
10.21275_v5i1.nov152970,"0722-4028,DOI10.1007/s00338-014-1214-6","Reproductive Synchrony of the Hermatypic Corals, Acropora hemperchii and Pocillopora verrucosa, along the Egyptian Red Sea Offshore and Onshore Reefs: Environmental Constraints",NA,"Red Sea,coral reef reproduction,synchronous,onshore and offshore reefs,breeding season,spawning","Histological investigations for the reproductive conditions of Acropora hemperchii and Pocillopora verrucosa in the onshore reefs at site 1, which impacted by oil pollution, and site 2 which , impacted by phosphate shipping, and those in the offshore ones at sites 3 and 4 at, respectively; each was impacted by diving activities, were studied. Both of the given species was found to be hermaphrodite broadcast spawners annually. The gonads of P. verrucosa were found on stalks arising from the column wall; but in A. hemperchii, the gonads fill the entire mesenteries. Moreover, there are pronounced differences in the timing and length of gametogenesis and spawning of A. hemperchii and P. verrucosa between different geographic regions. A. hemperchii showed the least productivity at the effected with oil pollution at site 1, represented by: 55 % of mature oocytes and an additional 38 % of immature oocytes. P. verrucosa declined to 46 %of mature oocytes and 50% of immature oocytes. The highest productivity of A. hemperchii was represented by 90% matures,3 % immatures and 7% empty and for Pocillopora verrucosa increased to 92% matures, 2% immature, and 5 % empty at the offshore site 2, the site impacted by eutrophication as a result of phosphate shipment. The spawning season of A. hemperchii in the northern Red Sea at site 1, is two months later than in the southern site 2, where A. hemperchii starts spawning in May and extended to July. However, P. verrucosa begins one month early than A. hemperchii at the same site, and extends for three months also from April to June. Moreover, spawning of P. verrucosa at site 2 is one month early than at its spawning at site 1. While, P. verrucosa at sites 3&4 starts spawning at April and extended for two months only.",en
10.12688_f1000research.6004.1,10.12688/f1000research.6004.1,"High reproductive synchrony of (Anthozoa: Acropora Scleractinia) in the Gulf of Aqaba, Red Sea [version 1; peer review: 2 approved]",16 January 2015,NA,"Coral spawning in the northern Gulf of Aqaba has been reported to be asynchronous, making it almost unique when compared to other regions in the world. Here, we document the reproductive condition of corals Acropora in early June 2014 in Dahab, in the Gulf of Aqaba, 125 km south of previous studies conducted in Eilat, Israel. Seventy-eight percent of Acropora colonies from 14 species had mature eggs, indicating that most colonies will spawn on or around the June full moon, with a very high probability of multi-species synchronous spawning. Given the proximity to Eilat, we predict that a comparable sampling protocol would detect similar levels of reproductive synchrony throughout the Gulf of Aqaba consistent with the hypothesis that high levels of spawning synchrony are a feature of all speciose coral assemblages.",en
10.12688_f1000research.3846.2,10.5256/f1000research.4214.r4507,"The reproductive season of in Socotra, Yemen Acropora [version 2; peer review: 2 approved]",17 April 2014,NA,"Determining when corals reproduce has clear management and economic implications. Here we document the reproductive condition of corals in the genus on the island of Socotra in Yemen during February 2014. Acropora Twenty percent of colonies (n = 143) contained mature gametes and 28% had immature gametes indicating that spawning will occur in both February and March in 2014, confirming previous anecdotal reports of coral spawning at this time in Socotra. typically reproduce in synchrony Acropora with many other broadcast spawning scleractinian corals, and we therefore predict that many other species are reproductively active at this time of year.",en
10.29303_jbt.v19i1.940,10.29303/jbt.v19i1.940,Pertumbuhan Kerangka Karang Acropora di Perairan Sengigi Lombok,8 Februari 2019,"Growth,Coral skeleton,Acropora sp","Penelitian ini bertujuan 1) Mengetahui laju petumbuhan kerangka karang Acropora (Acropora nobilis dan Acropora nosuta) 2) mengidentifikasi kondisi perairan Senggigi. Pengukuran pertumbuhan karang dilakukan selama empat bulan dengan metode Alizarin red meliputi pertumbuhan panjang dan pertambahan bobot. Untuk mengetahui perbedaan pertumbuhan pada kedua jenis karang, dilakukan uji t sedangkan kondisi perairan dilakukan uji laboratorium dan dibahas secara diskriptif. Hasil penelitian menunjukan bahwa pertumbuhan panjang kerangka Acropora nobilis mencapai 17.79 mm atau 0.148 mm/hari dan Acropora nosuta mencapai 14.28 mm atau 0.12 mm/hari. Sedangkan pertambahan bobot kerangka Acropora nobilis mencapai 513.1 mg atau 4.27 mg /hari dan Acropora nosuta mencapai 264.9 mg atau 2.21 mg /hari. Uji statistik menunjukan bahwa ada perbedaan laju pertumbuhan antara kerangka karang Acropora nobilis dan Acropora nosuta. Kondisi fisika kimia perairan Sengigi selama penelitian rata-rata sangat baik karena masih pada kisaran batas toleransi untuk persyaratan pertumbuhan karang pada umumnya Kata kunci : Pertumbuhan; Kerangka karang; Acropora sp",id
10.35800_jasm.0.0.2014.7295,NA,"Transplantation of coral fragment, Acropora formosa (Scleractinia) Transplantasi fragmen karang, Acropora formosa (Scleractinia)",NA,"coral,fragment,survival,growth,transplanted","The minimum size of coral transplants, Acropora formosa, was assessed to support their survival and growth. For this, 150 coral fragments of different sizes (5, 10, 15 cm) were transplanted close to the donor colony. Their survivorship and growth were observed for 12 months. At the end of the observation time, 90% of 15 cm-transplanted coral fragments survived, while the others (10cm and 5 cm) did 86% and 82% respectively. The average growth rate of 5 cm-coral fragments was 0.860 cm/month, while 10 and 15 cm-fragments were 0.984 cm/month and 1.108 cm/month respectively. One-way ANOVA showed that there was significant difference (p<0.05) among the three (5, 10, 15 cm) transplant initial sizes in which the longest fragment size tended to survive longer than the smaller one. However, the smaller transplants grew better than the bigger one, 10.318 cm/year (206%) for 5 cm-transplant, 11.803 cm/year (118%) for 10 cm-transplant, and 13.299 cm/year (89%) for 15 cm-transplant, respectively.",en
10.1007_s00338-013-1024-2,10.1007/s00338-013-1024-2,NA,16 March 2013,NA,"White rings on the threatened coral, Acropora palmata, associated with foraging activity of the honeycomb cowfish, Acanthostracion polygonius (Ostraciidae) Monitoring of the threatened Caribbean coral, Acropora palmata, in the upper Florida Keys, USA, since 2002, has revealed annular lesions of unknown origin. On September 13, 2012, a honeycomb cowfish (Acanthostracion polygonius) was observed creating annular lesions on A. palmata colonies at Molasses Reef in the Florida Keys (Fig. 1; video in Electronic Supplemental Material). A. polygonius typically preys on tunicates, alcyonarians, sponges, small crustaceans and gastropods (Randall 1967), and is not known to be a corallivore (Cole et al. 2008). To our knowledge, this is the first report of this species creating lesions on A. palmata. Lesions created by A. polygonius are distinct from other known fish bites (Bruckner 2007). They appear as a white ring with apparently healthy, intact tissue in the center, and are approximately 2 cm in diameter (Fig. 2). The ring appearance results from partial removal of tissue from the sides of the corallites and coenosteum, leaving polyps within the ring intact. There is no apparent mechanical damage to the corallites. As healing progresses, the ring gradually becomes a ring of pale tissue until zooxanthellae are recovered. Lesions heal rapidly (less than 6 weeks) and do not contribute to significant losses of live tissue. It is uncertain whether the fish is actively feeding on the coral tissue or the lesion is a by-product of the fish's foraging behavior. Although these lesions are rare, affecting 6 ± 4 % (mean ± SD) of colonies in the Florida Keys, their occurrence is typically clustered, affecting nearly 100 % of colonies at some sites. Of our 24 monitoring sites in Florida, colonies are consistently affected at three sites, while rings were rare to absent at the remaining sites.",en
10.14710_ijfst.12.1.35-39,NA,IDENTIFIKASI DAN KELIMPAHAN BAKTERI PADA JENIS KARANG Acropora sp. DI REEF FLAT TERUMBU KARANG PULAU PANJANG JEPARA,NA,"Jenis Bakteri,Kelimpahan Bakteri,Identifikasi Bakteri,Acropora sp.,Pulau Panjang Type of Bacteria,The Abundance of Bacteria,Identification of Bacteria,Acropora sp.,Panjang Island","Pulau Panjang di utara Kota Jepara memiliki wilayah terumbu karang dengan jenis karang dominan yaitu Acropora sp. Ekosistem ini merupakan habitat yang mendukung kehidupan biota akuatik di sekitarnya termasuk mikroorganisme yang terdapat di dalamnya. Keberadaan bakteri di dalam koloni karang diperlukan sebagai biota pendukung sediaan nutrisi untuk proses fotosintesis zooxanthellae dalam polip karang. Tujuan dari penelitian ini adalah untuk mengetahui jenis bakteri dan kelimpahannya pada jenis karang Acropora sp. di reef flat terumbu karang di Pulau Panjang Jepara. Penelitian ini dilaksanakan pada bulan Maret-April 2016 dengan menggunakan metode deskriptif. Materi uji adalah supernatan dari Acropora sp. yang telah dicentrifuge selanjutya dilakukan isolasi bakteri, kultur, uji morfologi, dan uji biokimia. Hasil penelitian yang diperoleh adalah terdapat 3 jenis bakteri yang teridentifikasi di karang Acropora sp. yaitu Listeria sp., Bacillus sp. [1] , Bacillus sp. [2] dan Micrococcus sp. Ketiga genera tersebut termasuk bakteri fakultatif dan berfungsi sebagai bakteri perombak bahan organik. Kelimpahan bakteri di karang Acropora sp. berkisar antara 1,0x10 4 Cfu/ml hingga 8,4x10 5 Cfu/ml. Pada stasiun I kelimpahan bakteri sebesar 2,0x10 4 Cfu/ml hingga 6,2x10 5 Cfu/ml, stasiun II kelimpahan bakteri sebesar 1,0x10 4 Cfu/ml hingga 8,4x10 5 Cfu/ml, serta pada stasiun III kelimpahan bakteri sebesar1,0x10 4 Cfu/ml hingga 1,3x10 5 Cfu/ml. Kelimpahan bakteri tertinggi ditemukan pada stasiun II. Jenis bakteri Listeria sp. mendominasi dengan nilai 8,4x10 5 Cfu/ml sedangkan bakteri Micrococcus sp. memiliki nilai terendah yaitu 1,0x10 4 Cfu/ml.",id
10.35800_jplt.7.3.2019.24499,NA,"DIMENSI DAN KOMPOSISI NEMATOSIT PADA KARANG SCLERACTINIA, Acropora florida DAN Acropora divaricata DI PANTAI MOTANDOI SELATAN KABUPATEN BOLAANG MONGONDOW SELATAN",NA,"Acropora florida,Acropora divaricata,HI,Scleractinia coral,MpM II,nematocytes","for five (5) months; from February to June 2019. The method of this research was observation using student-t statistical data analysis. Microbasic p-Mastigophore type-II (MpM-II) and Holotricous isorhiza (HI), while A. divaricata only has type-II Microbasic p-Mastigophore (MpM-II) nematocytes. The nematocytes dimension showed an average capsule length of MpM II in A. florida of was 262.32 µm and A. divaricata was 125.15 µm, mean capsule width of MPM II in A. florida was 67.01 µm and A. divaricata was 31.95 µm, and the average length of mpM II on A. florida was 154.44 µm, and A. divaricata was 70.97 µm. Nematocytes composition showed that MPM II in A. florida was 95.56% and HI was 4.44%, while the composition of MPM II nematocytes in A. divaricata was 100% and HI was 0%. Student t-test showed that the ratio of 2 average values of capsule length, capsule width, and MPM II stem length from two populations of A. florida and A. divaricata were not significantly different (P> 0.05). It can be concluded that both types of A. florida and A. divaricata corals have different types and composition of nematocytes however their size dimensions are not significantly different. Further studies are important to examine genetic and environmental factors to find out how much the kinship relationship between the two types of those coral.",en
10.14203_risetgeotam2018.v28.799,10.14203/risetgeotam2018.v28.799,"PALEONTOLOGY OF ACROPORA CORALS AND STANDARD FACIES BELT FROM UJUNGGENTENG AREA, WEST JAVA",NA,"Acropora,taxonomy,taphonomy,standard facies belt","The detail taxonomy analysis was performed to classify Acropora corals in Ujunggenteng Area. The research area was selected because the continuously exposed Quaternary coralline limestones, indicated the high variation and wide distribution of coral fossils. Moreover, the facies changes and contacts with shoreface sediments were clearly observed in this area. Detail taxonomy based on morphological description can classify Acropora corals in Ujunggenteng area into four species: Acropora cervicornis, Acropora palifera, Acropora gemmifera, and Acropora humilis. The study of coral paleontology and the application of the presence of corals as a standard facies belt were still rarely performed in Indonesia. Previous studies classified the coralline limestone into one standard facies belt, which was the organic buildup standard facies belt. Another approach was required to capture many conditions of coral fossil occurrences; not only in build-up condition but also in transported condition. Therefore, another purpose of this study is to modify the standard facies belt with a different approach using coral taphonomy and sediment association.",en
10.3354_meps333143,NA,Population dynamics of the reef-building coral Acropora hemprichii as an indicator of reef condition,"February 28, 2007","Reef,Coral,Acropora hemprichii,Age,Recruitment,Growth,Mortality,Survival","Population dynamics of stony corals may reveal processes of change in the community structure of coral reefs, yet little information is available on species-specific patterns of recruitment, growth, and mortality in reef corals. We report here on population dynamics of the common reefbuilding coral Acropora hemprichi on a fringing reef slope in the northern Red Sea. Fusion, fission, and partial mortality of colonies were rare in this population. Analysis of population size structure and colony growth and mortality rates revealed a maximum colony age of 13 to 24 yr and rapid population turnover of 10 to 20 yr. A deficiency of juveniles resulted in older, larger, and less abundant coral colonies than expected for a population with stable age structure. Colonies of this major reefbuilder appeared to be aging without sufficient replacement, leading to a decline in abundance. Several processes may have contributed to the patterns observed, including variable recruitment over space and time, long-term recruitment failure, and/or low adult mortality. Total percent cover, which was determined mainly by large colonies, was little affected by the paucity of juveniles. We conclude that monitoring of live coral percent cover, even at high taxonomic resolution, cannot detect rapid change in coral assemblages, because it is not sensitive to variation in juvenile abundance and population dynamics. More extensive information on demographic processes, especially species-specific coral recruitment, is urgently needed for the effective and timely management of coral reefs.",en
