ID,DOI,Title,Date,Keywords,Abstract,Language
Science-Repository-Transforming-Growth-Factor-Beta-1-Possible-Involvement-with-Acute-Lymphoblastic-Leukemia-Prognosis-in-Pediatric-Patients,10.31487/j.COR.2020.09.11,Transforming Growth Factor Beta 1: Possible Involvement with Acute Lymphoblastic Leukemia Prognosis in Pediatric Patients,"30 September, 2020",Acute lymphoid leukemia,"Acute lymphoblastic leukemia (ALL) is a malignant hematologic disorder and the most common cancer in children. Polymorphisms of TGFB1 gene have been associated to TGFB1 altered expression, disease susceptibility and prognosis. The present study evaluated polymorphisms of the TGFB1 promoter region and plasma levels of TGFB1 in 104 ALL patients and 115 controls. Furthermore, it was investigated its possible involvement in different clinical stages of ALL. Both polymorphisms were not associated with ALL susceptibility or risk of relapse and their different genotypes did not alter TGFB1 plasma levels. However, it was verified decreased of TGFB1 concentration in ALL compared to control group (p<0.0001). TGFB1 plasma levels were significantly lower in ALL patients at diagnosis comparing to treatment (p=0.004) and remission (p<0.0001) groups. Notably, patients in remission presented similar TGFB1 plasma levels to controls. This work demonstrated the effects of a deregulated immune function in childhood ALL concerning to TGFB1 regarding prognosis and suggests TGFB1 recovery induced by treatment.",en
2020.241-249,NA,Characteristics of Acropora divaricata and Acropora nobilis on different transplantation depths based on growth rate and zooxanthellae density,07 February 2020,"coral transplant,optimum depth,algal symbionts,decalcification","Coral reefs are aquatic ecosystems with the highest biodiversity and a complex structure of interconnections between invertebrates and photosynthetic dinoflagellates. While coral reefs have many ecological and economic functions, the condition keeps declining due to many factors. One of the efforts made to improve the condition is transplantation activities. We transplanted two species of Acropora, namely A. divaricata and A. nobilis using the PVC rack method in water depths of 5, 10 and 15 m. This study was conducted from January to October 2018. The growth rate and zooxanthellae densities from each depth were analyzed using ANOVA and Tukey's studentized rang statistical analysis (HSD) to determine the best treatment. The growth of both species showed significant differences (P < 0.05). The highest growth rates of A. divaricata and A. nobilis were obtained at 5 m depth of 0.539±0.7 and 0.500±0.16 (mean±SD) cm month-1 , and the lowest growth at 15 m depth was 0.21 ±0.02 and 0.162±0.14 (mean±SD) cm month-1. Zooxanthellae density also showed differences at each depth. The highest zooxanthellae density of A. divaricata and A. nobilis at 5 m depth was 1.372±0.25 x 10 6 (mean±SD) cells cm-2 and 0.603±0.455 x 10 6 (mean±SD) cells cm-2 , respectively. Pearson correlation analysis showed that the correlation between growth and zooxanthellae densities on A. divaricata was highly significant (r 2 = 0.331 and p< 0.01). Meanwhile, it was not significant at A. nobilis (r 2 = 0.011 and p > 0.05). The highest growth rate and zooxanthellae densities were found at a lower depth and decreased with the increasing depth. The correlation between growth rate and zooxanthellae densities is positive, despite different values according to species.",en
Foraging-by-a-Caribbean-spider-crab-on-the-threatened-coral-Acropora-palmata-during-coral-spawning,NA,"Foraging by a Caribbean spider crab on the threatened coral, Acropora palmata, during coral spawning",NA,NA,NA,NA
7-3-7-108,NA,"Staghorn coral (Genus-Acropora) of Elphinstone Island in Myeik archipelago, southern Taninthayi coast of Myanmar",NA,"Acropora,elphinstone island,myeik archipelago,composition,distribution","This study was carried out from Elphinstone Island and adjacent Islands: Taung Pan Gyi, Taung Pan Nge, Maw Shin, Sha Aw and The Hnit Tan of Tanintharyi Coastal Region. All collected coral specimens were recorded which composed by 41 species of Acropora during the present study period. The highest number of coral species (20) was found in Taung Pan Gyi and Mon Shin Stations. The lowest number of coral species (12) was found in Sha Aw Station (Table 2). The environmental parameter such as temperature, salinity and transparency ranged from 27-29 ºC, 30-36‰ and 4.8-5.6m respectively. The temperature and transparency ranges were slightly differed but the salinity range differed considerably. Acropora formosa, A. valida, A. nasuta and A. horrida were found to be common in the present study areas.",en
12003,NA,Juvenile Acropora tenuis attract Symbiodinium by using GlcNAc-binding lectin,NA,"Acropora tenuis,Symbiodinium,Chemoattraction,Lectin",NA,NA
Differential-bleaching-patterns-in-corals-of-Palk-Bay-and-the-Gulf-of-Mannar,10.18520/cs/v114/i03/679-685,Differential bleaching patterns in corals of Palk Bay and the Gulf of Mannar,NA,"Adaptive coral bleaching,Gulf of Mannar,Palk Bay","The status of reefs in Palk Bay and the Gulf of Mannar was studied during April-May 2016 following a bleach alert, as the sea surface temperature recorded a sudden increase from 30.5C to 34.0C in Gulf of Mannar. About 71.48%  8.9% of the corals in Palk Bay and 46.04%  3.78% in Thoothukkudi group of Islands in Gulf of Mannar were found bleached, showing a clearly decreasing trend from north to south, which could be attributed to the corresponding pattern in intensity of SST recorded in the study sites. Observations of bleaching patterns among different life-forms showed 68% of the bleached corals were massive forms. It was observed that 22 out of the 26 massive forms were bleached, while the Acropora corymbose (ACC), digitate (ACD) and encrusting coral (CE) forms were not bleached in any of the study sites in Palk Bay and Gulf of Mannar. The study suggests that the ACC, ACD and CE forms have adapted to thermal stress, subsequent to the earlier mass bleaching events. The study highlights the need for understanding the molecular mechanism of the association between corals and the symbiotic algae, for further understanding on coral bleaching in Indian waters.",en
Bioerosion-of-the-scleractinian-finger-coral-Acropora-humilis-from-El-Ain-El-Sukhna-Gulf-of-Suez-Red-Sea,NA,"Bioerosion of the scleractinian finger coral Acropora humilis from El-Ain El-Sukhna, Gulf of Suez-Red Sea",NA,"Phone no Scleractinian Coral,Acropora humilis,Skeleton,Crystals,Boring Microflora,Bioerosion,Scanning Electron Microscopy","Bioerosion by boring organisms is one of the major destructive forces operating on reef. The aim of this study was to investigate the bioerosion by microflora of a scleractinian finger coral Acropora humilis, which collected from the reef edge of El Ain El Sukhna (Gulf of Suez-Red Sea) by using the Scanning Electron Microscope (SEM). The collected colonies of A. humilis were solid, very porous, and branching. These colonies have two colors; brown color with purple branch tips and yellow color with cream branch tips. Individual branches form fat fingers; 10 to 25 mm in diameter and less than 200 mm in length, tapering to large domeshaped axial corallites. Small branchlets or incipient axial corallites usually occur at the base of main branches. Radial corallites are cup-shaped and have two sizes, the larger are usually in rows and have thick walls and only slightly increase in size down the sides of branches. Axial and radial corallites have a series of vertical rods arranged in concentric rings and horizontal radial and tangential bars. The radial bars form the sclerosepta along with the vertical rods. The tangential bars are synapticulae that connect adjacent sclerosepta to one another. Series of fasciculi form the characteristic scale-like appearance of A. humilis skeleton. The bioerosion was investigated at least in one branch of some colonies which were harbored by fungi, green algae and cyanobacteria; led to loss of tissues and erosion of rods, bars and fusiform crystals. Acropora humilis is subjected to bioerosion due to: its surface which covered by muco-polysaccharides, its high porosity and its branching form; whose facilitate colonization by boring organisms.",en
DESIGN-AND-IMPLEMENTATION-OF-ELECTRONIC-LOGGING-INSTRUMENT-TO-HELP-SCIENTIFIC-DIVER-IN-CORAL-REEF-OBSERVATION,10.1175/1520-0426(2004)021<0331:NAMFRD>2.0.CO;2,DESIGN AND IMPLEMENTATION OF ELECTRONIC LOGGING INSTRUMENT TO HELP SCIENTIFIC DIVER IN CORAL REEF OBSERVATION,NA,"Instrument,Coral Reef Observation,Water Quality,Arduino","Coral Reefs observations need to be conducted to determine general condition of coral reef ecosystems. This observation can be used to plan further management. There are many kind of coral reef observation method such as Line Intercept Transect (LIT), Point Intercept Transect (PIT), Photo Transect, Belt Transect, Benthic towed-Diver, etc. Indonesia as an archipelago country have many kinds of coral. Indonesia is also located in the area of Coral Triangle Initiative. In Indonesia, LIT and PIT are usually used in Coral Monitoring. There are some disadvantages when collecting data using these methods. Divers usually take hours to input the data. Therefore, authors have an idea to facilitate the diver to decrease input data time by way of employing look-up table system. The look up table basically will simplify the writing process namely by replacing text with numerical coding. In addition, water quality data such as temperature, depth, and visibility are embedded in this electronic logging instrument. This instrument used Arduino Mega2560, keypad 4x3, LCD Module 16x2 character, Real Time Clock, temperature sensor, pressure sensor, visibility sensor and micro SD Card module. Arduino IDE 1.6.5 is used to program the microcontroller. In this paper, we will describe the implementation and field observation result of this instrument.",en
193957002,10.21789/22561498.1452,PDF generado a partir de XML-JATS4R,NA,"Coral,growth,survival,health status,San Martín de Pajarales island","La degradación acelerada de las formaciones coralinas, especialmente de las especies de aguas someras como A. cervicornis, ha causado preocupación. Por esta razón, se han implementado diferentes medidas activas para recuperar este ecosistema. El presente estudio evaluó la eficiencia de un modelo de guardería vertical tipo árbol con fragmentos de A. cervicornis en la isla San Martín de Pajarales (Oceanario, Centro de Investigación, Educación y Recreación [CEINER], Parque Nacional Natural Corales del Rosario y San Bernardo [PNNCR y SB], Colombia), donde se instalaron 10 guarderías verticales (5 morfotipos del coral). De cada morfotipo se tuvieron en cuenta 12 fragmentos, para los cuales se determinó su crecimiento (lineal y volumen ecológico), sobrevivencia y estado de salud. Los morfotipos evaluados se comportaron de manera similar en ambos tipos de crecimiento. Los resultados de esta investigación señalan que la sobre-vivencia de todos los fragmentos fue alta, variando entre 90 y 100 %, siendo el sobrecrecimiento algal el signo más recurrente en la mortalidad parcial. A partir de esta información, se demuestra la eficiencia a bajo costo de las guarderías flotantes como método de restauración. Palabras clave: coral, crecimiento, sobrevivencia, estado de salud, isla San Martín de Pajarales.",es
2020_Nielsen-etal-Physiological-effects-of-heat-and-cold-exposure-in-the-common-reef-coral-Acropora-millepora,10.1007/s00338-019-01881-x),Physiological effects of heat and cold exposure in the common reef coral Acropora millepora,13 January 2020,"Thermal tolerance,Coral,Energetic condition,Cold exposure,Trade-offs Topic Editor Mark Vermeij","Reef-forming corals are under threat globally from climate change, leading to changes in sea temperatures with both hot and cold events recorded and projected to increase in frequency and severity in the future. Tolerance to heat and cold exposure has been found to be mutually exclusive in other marine invertebrates, but it is currently unclear whether a trade-off exists between hot and cold thermal tolerance in tropical corals. This study quantified the changes in physiology in Acropora millepora from the central Great Barrier Reef subjected to three temperature treatments; sub-lethal cold, ambient and sublethal heat (23.0°C, 27.0°C and 29.5°C, respectively). After 10 weeks, pigment content and Symbiodiniaceae density increased in cold-treated corals but decreased in heat-treated corals relative to corals at ambient conditions. Heat-treated corals gained less mass relative to both ambient and cold-treated corals. These results indicate that the physiological condition of A. millepora corals examined here improved in response to mild cold exposure compared to ambient exposure and decreased under mild heat exposure despite both these temperatures occurring in situ around 15% of the year. The energetic condition of corals in the hotter treatment was reduced compared to both ambient and cooler groups, indicating that corals may be more resilient to mild cold exposure relative to mild heat exposure. The results indicate that the corals shifted their resource allocation in response to temperature treatment, investing more energy into skeletal extension rather than maintenance. No evidence of thermal tolerance tradeoffs was found, and cold thermal tolerance was not lost in more heat-tolerant individuals. An enhanced understanding of physiological responses of corals at both ends of the thermal spectrum is important for predicting the resilience of corals under projected climate change conditions.",en
