ID,DOI,Title,Date,Keywords,Abstract,Language
10.1038_s41598-018-21267-3,10.1038/s41598-018-21267-3,Elevated CO 2 delays the early development of scleractinian coral Acropora gemmifera,NA,NA,"The effects of elevated CO 2 on the early life stages of coral were investigated by culturing the pelagic larvae and new recruits of Acropora gemmifera at three concentrations of CO 2 (corresponding to pH = 8.1, 7.8 and 7.5, respectively). Acidified seawater resulted in fewer A. gemmifera larvae settling, and led to the production of smaller new recruits by slowing the development of the skeleton. The delayed development of new recruits due to elevated CO 2 was consistent with the downregulation of calcification related genes. Several genes related to HCO 3 − and Ca 2+ transporters were downregulated by elevated CO 2 , with solute carriers (SLC) (membrane transport proteins) possibly playing an important role. The downregulation of these membrane transport proteins might suppress the transport of calcium, bicarbonate and organic matter, resulting in the delayed development of A. gemmifera. Coral calcification is believed to be largely controlled by the degree of aragonite saturation (Ω A), and is significantly decreased by elevated atmospheric partial pressure CO 2 (pCO 2) 1-3 The early life stages of many marine organisms seem to be particularly vulnerable to acidified seawater. Consequently, there is an increasing concern about the potential impacts of increasing pCO 2 on corals during their early life stages 4. There are both pelagic and benthic phases in the coral life-cycle 5. The planktonic larvae of stony corals are non-calcifying until they settle, with a previous study documenting their morphological changes 6 (Fig. 1). After coral larvae settle, new recruits develop a calcifying base, and form a synapticular ring and septa to establish the structure of the coral skeleton. The skeletal morphology changes rapidly during the early life stage, suggesting that the expression of calcification related genes also changes 7. Coral growth and calcification are closely related to various protein transporters of Ca 2+ , H + and HCO 3 − 8-11 , as well as coral skeleton organic matrix proteins (SOMPs) 7,12,13. There has been detailed information on the settlement and metamorphosis of early life stages of coral 14,15. In addition, previous studies reported that high CO 2 affected the early life stage of coral, by delaying calcification and settlement 16-20 , modulating metabolism 21,22 , changing skeleton morphology 19,23 , and reducing survival and algal infection rates 24. Also, some studies showed that elevated CO 2 exhibited no significant effects on coral survival and corallite area 14,25. Gene expression has been analysed to understand the post-settlement success and skeleton formation of coral during the entire period of early development 26,27. Moya, et al. 28 used the Illumina RNAseq approach to study how acute exposure to elevated CO 2 affected the gene expression of the early life of Acropora millepora. The authors reported that the expression of most ion transport proteins was not affected by elevated CO 2 , while many membrane-associated or carbonic anhydrases were downregulated. Although corals lacked a strong response to elevated pCO 2 in the study of Rocker, et al. 29 , new recruits might have the capacity to acclimate rapidly to elevated pCO 2 by upregulating specific heat shock proteins (HSPs) and a suite of anti-apoptotic proteins (e.g. Bcl-2 family members) 30. Kaniewska, et al. 31 also demonstrated the upregulation of membrane transporters under high CO 2 concentrations, as well as the regulation of genes involved in the cytoskeletal interactions and cytoskeletal remodelling of membranes. The expression of heat shock proteins, carbonic anhydrase, and rubisco protein has also been studied in coral larvae 32-34 , supporting the assumption that elevated temperature and CO 2 are impacting coral development. Previous studies primarily used A. millepora as a model species in the analysis of gene expression. However, studies of other species might provide a more complete understanding of how coral communities respond to",en
10.3389_fmicb.2016.00316,10.3389/fmicb.2016.00316,"Species Specificity of Bacteria Associated to the Brown Seaweeds Lobophora (Dictyotales, Phaeophyceae) and Their Potential for Induction of Rapid Coral Bleaching in Acropora muricata",21 March 2016,"coral bleaching,Illumina sequencing,in situ bioassay,Lobophora,macroalgal-coral interaction,macroalgal bacterial assemblage,macroalgal culturable epibacteria",NA,NA
10.1016_j.marpolbul.2016.03.068,10.1016/j.marpolbul.2016.03.068,"Proteomic analysis of bleached and unbleached Acropora palmata, a threatened coral species of the Caribbean",19 April 2016,Coral bleaching Proteomics Acropora palmata,"There has been an increase in the scale and frequency of coral bleaching around the world due mainly to changes in sea temperature. This may occur at large scales, often resulting in significant decline in coral coverage. In order to understand the molecular and cellular basis of the ever-increasing incidence of coral bleaching, we have undertaken a comparative proteomic approach with the endangered Caribbean coral Acropora palmata. Using a proteomic tandem mass spectrometry approach, we identified 285 and 321 expressed protein signatures in bleached and unbleached A. palmata colonies, respectively, in southwestern Puerto Rico. Overall the expression level of 38 key proteins was significantly different between bleached and unbleached corals. A wide range of proteins was detected and categorized, including transcription factors involved mainly in heat stress/UV responses, immunity, apoptosis, biomineralization, the cytoskeleton, and endo-exophagocytosis. The results suggest that for bleached A. palmata, there was an induced differential protein expression response compared with those colonies that did not bleach under the same environmental conditions.",en
10.1186_s12864-015-2355-x,10.1186/s12864-015-2355-x,Functional conservation of the apoptotic machinery from coral to man: the diverse and complex Bcl-2 and caspase repertoires of Acropora millepora,NA,"Apoptosis,Caspase,Bcl-2,Coral,Acropora millepora,Cnidaria","Background: Apoptotic cell death is a defining and ubiquitous characteristic of metazoans, but its evolutionary origins are unclear. Although Caenorhabditis and Drosophila played key roles in establishing the molecular bases of apoptosis, it is now clear that cell death pathways of these animals do not reflect ancestral characteristics. Conversely, recent work suggests that the apoptotic networks of cnidarians may be complex and vertebrate-like, hence characterization of the apoptotic complement of representatives of the basal cnidarian class Anthozoa will help us to understand the evolution of the vertebrate apoptotic network. Results: We describe the Bcl-2 and caspase protein repertoires of the coral Acropora millepora, making use of the comprehensive transcriptomic data available for this species. Molecular phylogenetics indicates that some Acropora proteins are orthologs of specific mammalian pro-apoptotic Bcl-2 family members, but the relationships of other Bcl-2 and caspases are unclear. The pro-or anti-apoptotic activities of coral Bcl-2 proteins were investigated by expression in mammalian cells, and the results imply functional conservation of the effector/anti-apoptotic machinery despite limited sequence conservation in the anti-apoptotic Bcl-2 proteins. A novel caspase type (""Caspase-X""), containing both inactive and active caspase domains, was identified in Acropora and appears to be restricted to corals. When expressed in mammalian cells, full-length caspase-X caused loss of viability, and a truncated version containing only the active domain was more effective in inducing cell death, suggesting that the inactive domain might modulate activity in the full-length protein. Structure prediction suggests that the active and inactive caspase domains in caspase-X are likely to interact, resulting in a structure resembling that of the active domain in procaspase-8 and the inactive caspase domain in the mammalian c-FLIP anti-apoptotic factor. Conclusions: The data presented here confirm that many of the basic mechanisms involved in both the intrinsic and extrinsic apoptotic pathways were in place in the common ancestor of cnidarians and bilaterians. With the identification of most or all of the repertoires of coral Bcl-2 and caspases, our results not only provide new perspectives on the evolution of apoptotic pathways, but also a framework for future experimental studies towards a complete understanding of coral bleaching mechanisms, in which apoptotic cell death might be involved.",en
10.1111_mec.15642,10.1111/mec.15642,Local acclimatisation-driven differential gene and protein expression patterns of Hsp70 in Acropora muricata: Implications for coral tolerance to bleaching,NA,"Acropora muricata,bleaching pattern,gene,heat shock protein expression,Mauritius,protein,spatial variation,thermal tolerance","Coral reefs are the most productive and biologically diverse of marine ecosystems and reef-building corals are building blocks of such ecosystems (McManus, 2001). In the last decades coral reefs around the world have faced unprecedented degradation (Aronson et al., 2002; Pratchett et al., 2014; Hughes et al., 2017). In particular, rising sea surface temperature, due to global warming, in combination with high light intensity has been recognised as a prominent cause of coral bleaching and subsequently of mass coral mortality (Hughes, et al., 2018; Sully et al., 2019). However, spatial and temporal patterns of mass bleaching have been observed (Heron et al., 2016; Hughes, et al., 2018). Indeed, variable bleaching is known to be strongly influenced by unequal distribution of abiotic stresses (Guest et al., 2012;",en
10.1371_journal.pone.0016095,10.1371/journal.pone.0016095,Regulation of Apoptotic Mediators Reveals Dynamic Responses to Thermal Stress in the Reef Building Coral Acropora millepora,"January 24, 2011",NA,"Background: Mass coral bleaching is increasing in scale and frequency across the world's coral reefs and is being driven primarily by increased levels of thermal stress arising from global warming. In order to understand the impacts of projected climate change upon corals reefs, it is important to elucidate the underlying cellular mechanisms that operate during coral bleaching and subsequent mortality. In this respect, increased apoptotic cell death activity is an important cellular process that is associated with the breakdown of the mutualistic symbiosis between the cnidarian host and their dinoflagellate symbionts. Methodology/Principal Findings: The present study reports the impacts of different stressors (colchicine and heat stress) on three phases of apoptosis: (i) the potential initiation by differential expression of Bcl-2 members, (ii) the execution of apoptotic events by activation of caspase 3-like proteases and (iii) and finally, the cell disposal indicated by DNA fragmentation in the reef building coral Acropora millepora. In corals incubated with colchicine, an increase in caspase 3-like activity and DNA fragmentation was associated with a relative down-regulation of Bcl-2, suggesting that the initiation of apoptosis may be mediated by the suppression of an anti-apoptotic mechanism. In contrast, in the early steps of heat stress, the induction of caspase-dependent apoptosis was related to a relative up-regulation of Bcl-2 consecutively followed by a delayed decrease in apoptosis activity. Conclusions/Significance: In the light of these results, we propose a model of heat stress in coral hosts whereby increasing temperatures engage activation of caspase 3-dependent apoptosis in cells designated for termination, but also the onset of a delayed protective response involving overexpression of Bcl-2 in surviving cells. This mitigating response to thermal stress could conceivably be an important regulatory mechanism for cell survival in corals exposed to sudden environmental changes.",en
10.1007_s10126-020-09984-1,10.1007/s10126-020-09984-1,Transcriptome Analyses of Immune System Behaviors in Primary Polyp of Coral Acropora digitifera Exposed to the Bacterial Pathogen Vibrio coralliilyticus under Thermal Loading,21 July 2020,"Coral,Vibrio coralliilyticus,Thermal stress,Innate immunity,Transcriptome analysis,Immunosuppression","Elevated sea surface temperature associated with global warming is a serious threat to coral reefs. Elevated temperatures directly or indirectly alter the distribution of coral-pathogen interactions and thereby exacerbate infectious coral diseases. The pathogenic bacterium Vibrio coralliilyticus is well-known as a causative agent of infectious coral disease. Rising sea surface temperature promotes the infection of corals by this bacterium, which causes several coral pathologies, such as bacterial bleaching, tissue lysis, and white syndrome. However, the effects of thermal stress on coral immune responses to the pathogen are poorly understood. To delineate the effects of thermal stress on coral immunity, we performed transcriptome analysis of aposymbiotic primary polyps of the reef-building coral Acropora digitifera exposed to V. coralliilyticus under thermal stress conditions. V. coralliilyticus infection of coral that was under thermal stress had negative effects on various molecular processes, including suppression of gene expression related to the innate immune response. In response to the pathogen, the coral mounted various responses including changes in protein metabolism, exosome release delivering signal molecules, extracellular matrix remodeling, and mitochondrial metabolism changes. Based on these results, we provide new insights into innate immunity of A. digitifera against pathogen infection under thermal stress conditions.",en
10.1371_journal.pone.0020140,10.1371/journal.pone.0020140,Identification of Fast-Evolving Genes in the Scleractinian Coral Acropora Using Comparative EST Analysis,"June 20, 2011",NA,"To identify fast-evolving genes in reef-building corals, we performed direct comparative sequence analysis with expressed sequence tag (EST) datasets from two acroporid species: Acropora palmata from the Caribbean Sea and A. millepora from the Great Barrier Reef in Australia. Comparison of 589 independent sequences from 1,421 A. palmata contigs, with 10,247 A. millepora contigs resulted in the identification of 196 putative homologues. Most of the homologous pairs demonstrated high amino acid similarities (over 90%). Comparisons of putative homologues showing low amino acid similarities (under 90%) among the Acropora species to the near complete datasets from two other cnidarians (Hydra magnipapillata and Nematostella vectensis) implied that some were non-orthologous. Within 86 homologous pairs, 39 exhibited dN/dS ratios significantly less than 1, suggesting that these genes are under purifying selection associated with functional constraints. Eight independent genes showed dN/dS ratios exceeding 1, while three deviated significantly from 1, suggesting that these genes may play important roles in the adaptive evolution of Acropora. Our results also indicated that CEL-III lectin was under positive selection, consistent with a possible role in immunity or symbiont recognition. Further studies are needed to clarify the possible functions of the genes under positive selection to provide insight into the evolutionary process of corals.",en
10.1371_journal.pone.0081821,10.1371/journal.pone.0081821,RNA-seq Profiles of Immune Related Genes in the Staghorn Coral Acropora cervicornis Infected with White Band Disease,"November 21, 2013",NA,"Coral diseases are among the most serious threats to coral reefs worldwide, yet most coral diseases remain poorly understood. How the coral host responds to pathogen infection is an area where very little is known. Here we used next-generation RNA-sequencing (RNA-seq) to produce a transcriptome-wide profile of the immune response of the Staghorn coral Acropora cervicornis to White Band Disease (WBD) by comparing infected versus healthy (asymptomatic) coral tissues. The transcriptome of A. cervicornis was assembled de novo from A-tail selected Illumina mRNA-seq data from whole coral tissues, and parsed bioinformatically into coral and non-coral transcripts using existing Acropora genomes in order to identify putative coral transcripts. Differentially expressed transcripts were identified in the coral and non-coral datasets to identify genes that were up-and down-regulated due to disease infection. RNA-seq analyses indicate that infected corals exhibited significant changes in gene expression across 4% (1,805 out of 47,748 transcripts) of the coral transcriptome. The primary response to infection included transcripts involved in macrophage-mediated pathogen recognition and ROS production, two hallmarks of phagocytosis, as well as key mediators of apoptosis and calcium homeostasis. The strong up-regulation of the enzyme allene oxide synthase-lipoxygenase suggests a key role of the allene oxide pathway in coral immunity. Interestingly, none of the three primary innate immune pathways-Toll-like receptors (TLR), Complement, and prophenoloxydase pathways, were strongly associated with the response of A. cervicornis to infection. Five-hundred and fifty differentially expressed non-coral transcripts were classified as metazoan (n = 84), algal or plant (n = 52), fungi (n = 24) and protozoans (n = 13). None of the 52 putative Symbiodinium or algal transcript had any clear immune functions indicating that the immune response is driven by the coral host, and not its algal symbionts.",en
10.1086_692717,NA,Early Transcriptional Responses during Heat Stress in the Coral Acropora hyacinthus,31 May 2017,"HSP, heat shock protein,Log2FC, Log2 fold change,NF-KB, nuclear factor kappa B,UPR, unfolded protein response","Corals respond to heat pulses that cause bleaching with massive transcriptional change, but the immediate responses to stress that lead up to these shifts have never been detailed. Understanding these early signals could be important for identifying the regulatory mechanisms responsible for bleaching and how these mechanisms vary between more and less resilient corals. Using RNA sequencing (RNAseq) and sampling every 30 minutes during a short-term heat shock, we found that components of the transcriptome were significantly upregulated within 90 min and after a temperature increase of 12 7C. The developmental transcription factor, Krüppel-like factor 7, was highly expressed within 60 min, and stress-related transcription factors such as Elk-3 were highly expressed starting at 240 min. The sets of genes enriched for early transcriptional response to heat stress included heat shock proteins, small GTPases, and proteasome genes. Retrovirusrelated Pol polyproteins from transposons were significantly expressed throughout the whole experiment. Lastly, we propose a model for early transcriptional regulation of protein degradation and cell adhesion response that may ultimately lead to the bleaching and stress response.",en
10.5539_ijb.v4n1p3,10.5539/ijb.v4n1p3,"Effects of Heat Stress on Phytopigments of Zooxanthellae (Symbiodinium spp.) Symbiotic with the Corals Acropora hyacinthus, Porites solida, and Favites complanata","January 1, 2012","Carotenoids,Chlorophyll a (chl a),Chlorophyll c (chl c),Coral bleaching,Fucoxanthins,Global warming,Phytopigments,Phaeopigments","The question of whether global warming affects phytopigments within Symbiodinium spp. of coral is central to understanding the process of coral bleaching. In this study, corals Acropora hyacinthus, Porites solida, and Favites complanata were exposed to elevated temperatures (28, 30, 32, and 34 o C) for 48 h and the responses of Symbiodinium chl a, chl c, total carotenoids, total phaeophytins, and fucoxanthins were examined. In A. hyacinthus, the phytopigment concentrations at 28 and 30 o C were significantly different from 32 and 34 o C, implying a step-function response initiated between 30 and 32 o C. In P. solida, all phytopigments varied significantly between the temperatures, except in the case of total carotenoids which had no significant response. In F. complanata, all phytopigments decreased linearly as temperature increased. Our results indicate that decreases in Symbiodinium phytopigments in response to heat stress may be a need to adapt while their host coral may already be adapted (or exapted).",en
