Entry	Status	Protein names	Gene names
Q8SJB6	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB
Q8SJB1	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QPK7	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
P35067	reviewed	Histone H2B	
B3EWZ9	reviewed	Hephaestin-like protein (EC 1.-.-.-)	
P35059	reviewed	Histone H4	
A0A0K2S5M3	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	CO1 COI
P22843	reviewed	Histone H3	
P35061	reviewed	Histone H2A	
E3W6G2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
I6UAP5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
U5QPS4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QSS6	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QPH3	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QPM9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QTB5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QT55	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QT29	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
A0A0U3PEP9	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COX1
U5QPF8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QPF4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
U5QP40	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
A0A290QWL2	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
A0A290QSK0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
A0A290QL27	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	cox1
A0A4P9Q2H3	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
H9TQN2	unreviewed	Plasma membrane calcium ATPase (Fragment)	PMCA
H9TR13	unreviewed	Plasma membrane calcium ATPase (Fragment)	PMCA
A0A3G1PSD0	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
A0A0B5E257	unreviewed	PaxC (Fragment)	PaxC
A0A2D0W541	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
H9TQX6	unreviewed	Plasma membrane calcium ATPase (Fragment)	PMCA
Q6I7B1	unreviewed	Fluorescent protein	MiCy
A0A3G1PSE8	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
H9TQM4	unreviewed	Plasma membrane calcium ATPase (Fragment)	PMCA
A0A7D5D3R8	unreviewed	Acropsin 4 (Fragment)	OP4
G8HT95	unreviewed	CBAH domain-containing protein	
A0A0H3TZ06	unreviewed	Chromoprotein CP564	CP564
B0EVY4	unreviewed	Cryptochrome CRY1	cry1
M4QSB1	unreviewed	Chromoprotein 604	
U5HUH1	unreviewed	FP597 protein (Fragment)	FP597
A0A0U1YWJ4	unreviewed	Apoptotic protease activating factor 1	APAF-1
G8HTC1	unreviewed	Uncharacterized protein	
D7NNA8	unreviewed	F5/8 type C domain-containing protein	
B3V951	unreviewed	Mannose-binding lectin (Fragment)	
O17494	unreviewed	Integrin beta	
A0A7D5D491	unreviewed	Acropsin 5 (Fragment)	OP5
B7T141	unreviewed	C-type lectin domain-containing protein	
I3QDC1	unreviewed	Selenoprotein I (Fragment)	SelI
A0MV36	unreviewed	Muscle segment homeobox 3	msx3
Q2EZ92	unreviewed	NADH:ubiquinone reductase (H(+)-translocating) (EC 7.1.1.2) (Fragment)	
A0A515I5M4	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
Q2EZ89	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (Fragment)	
B5LIM9	unreviewed	Heat shock transcription factor (Fragment)	
A0A2D0W546	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COI
Q2EZ90	unreviewed	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (Fragment)	
H9TQU5	unreviewed	Plasma membrane calcium ATPase (Fragment)	PMCA
B5T1L3	unreviewed	Green fluorescent protein FP497	
B4ZYS8	unreviewed	SoxBa (Fragment)	
G8HTB9	unreviewed	Uncharacterized protein	
B3V959	unreviewed	Mannose-binding lectin (Fragment)	
G8HTA9	unreviewed	SWIRM domain-containing protein (Fragment)	
D9IQ18	unreviewed	Galaxin-like 2	
M4QUP7	unreviewed	Chromoprotein 586	
G8HTA7	unreviewed	Uncharacterized protein	
A0A2P1M5N6	unreviewed	Cytochrome b (Fragment)	CYTB
B3V950	unreviewed	Mannose-binding lectin (Fragment)	
Q9NGS6	unreviewed	Transcription factor PaxD	PaxD
A0A2H4NNK7	unreviewed	Omega-3 desaturase-like A	
G8HTA5	unreviewed	Syndecan domain-containing protein	
A0A0B5KML6	unreviewed	FAS associated death domain protein	FADD
Q09KA0	unreviewed	A007-G11 G-protein coupled receptor	
Q9BKI8	unreviewed	Homeodomain protein cnox-2	cnox-2
A0A089PPC5	unreviewed	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Fragment)	COX1
B6DC31	unreviewed	PaxC (Fragment)	PaxC
G8HTA8	unreviewed	Uncharacterized protein	
B7SB93	unreviewed	Bcl-like protein	
B7SB94	unreviewed	Bax-like protein	
G8HTB3	unreviewed	Uncharacterized protein	
J9QFV4	unreviewed	Peptidylglycine monooxygenase (EC 1.14.17.3)	PHM
B4ZYT0	unreviewed	SoxC	
A0A7D5D412	unreviewed	Acropsin 2	OP2
D0U6N3	unreviewed	Prefoldin subunit 4-like protein (Fragment)	
U5HV72	unreviewed	Chromoprotein CP506 (Fragment)	CP506
A0A2H4NNK6	unreviewed	Omega-3 desaturase-like B	
A0A7D5D3U8	unreviewed	Acropsin 6 (Fragment)	OP6
Q95WG4	unreviewed	Nuclear receptor Amtll	
